,Ano,Delegacia,Natureza,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
325,2012,04 DP  - Piracicaba,OCORRÊNCIAS DE PORTE DE ENTORPECENTES,0,1,0,1,1,0,0,2,2,0,2,1,10
326,2012,04 DP  - Piracicaba,OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES,0,0,0,2,0,1,0,2,1,2,2,1,11
327,2012,04 DP  - Piracicaba,OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1),0,0,0,0,0,0,0,0,0,0,0,1,1
328,2012,04 DP  - Piracicaba,OCORRÊNCIAS DE PORTE ILEGAL DE ARMA,0,0,0,2,3,3,1,3,2,0,0,1,15
329,2012,04 DP  - Piracicaba,Nº DE ARMAS DE FOGO APREENDIDAS,1,0,0,2,1,3,1,3,5,0,0,1,17
330,2012,04 DP  - Piracicaba,Nº DE FLAGRANTES LAVRADOS,7,11,11,11,15,12,8,12,7,8,14,7,123
331,2012,04 DP  - Piracicaba,Nº DE INFRATORES APREENDIDOS EM FLAGRANTE,0,0,0,0,0,0,0,0,0,0,0,0,0
332,2012,04 DP  - Piracicaba,Nº DE INFRATORES APREENDIDOS POR MANDADO,0,0,0,0,0,0,0,0,0,3,0,2,5
333,2012,04 DP  - Piracicaba,Nº DE PESSOAS PRESAS EM FLAGRANTE,10,15,14,15,17,17,8,10,9,8,19,9,151
334,2012,04 DP  - Piracicaba,Nº DE PESSOAS PRESAS POR MANDADO,3,0,2,2,2,2,10,7,1,5,2,3,39
335,2012,04 DP  - Piracicaba,Nº DE PRISÕES EFETUADAS,13,15,16,17,19,19,18,17,10,13,16,12,185
336,2012,04 DP  - Piracicaba,Nº DE VEÍCULOS RECUPERADOS,9,6,12,16,32,11,10,24,13,8,11,16,168
337,2012,04 DP  - Piracicaba,TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS,20,23,27,26,36,33,30,34,34,22,33,26,344
338,2012,05 DP  - Piracicaba,OCORRÊNCIAS DE PORTE DE ENTORPECENTES,0,0,0,0,0,0,0,0,0,0,0,0,0
339,2012,05 DP  - Piracicaba,OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES,1,0,0,2,3,6,3,3,1,2,2,4,27
340,2012,05 DP  - Piracicaba,OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1),0,0,0,5,0,0,0,0,0,0,0,0,5
341,2012,05 DP  - Piracicaba,OCORRÊNCIAS DE PORTE ILEGAL DE ARMA,0,1,0,0,0,1,0,1,2,0,2,0,7
342,2012,05 DP  - Piracicaba,Nº DE ARMAS DE FOGO APREENDIDAS,0,1,1,10,0,2,2,2,2,2,2,0,24
343,2012,05 DP  - Piracicaba,Nº DE FLAGRANTES LAVRADOS,5,6,7,7,9,8,3,3,4,1,3,7,63
344,2012,05 DP  - Piracicaba,Nº DE INFRATORES APREENDIDOS EM FLAGRANTE,0,0,0,0,0,0,0,0,0,0,0,0,0
